id,date,Home,Away,round,result,Home_Points_Before,home_halftime_score,home_fulltime_score,home_extratime_score,home_penalty_score,Away_Points_Before,away_halftime_score,away_fulltime_score,away_extratime_score,away_penalty_score
721722,2021-07-23 02:00:00+00:00,Club Queretaro,Club America,Apertura - 1,d,0,0,0,,,0,0,0,,
721723,2021-07-24 00:00:00+00:00,Necaxa,Santos Laguna,Apertura - 1,a,0,0,0,,,0,2,3,,
721724,2021-07-24 02:00:00+00:00,FC Juarez,Toluca,Apertura - 1,a,0,1,1,,,0,1,3,,
721725,2021-07-24 21:00:00+00:00,Pachuca,Leon,Apertura - 1,h,0,0,4,,,0,0,0,,
721726,2021-07-25 02:00:00+00:00,Guadalajara Chivas,Atletico San Luis,Apertura - 1,a,0,0,1,,,0,1,2,,
721727,2021-07-25 17:00:00+00:00,U.N.A.M. - Pumas,Atlas,Apertura - 1,d,0,0,0,,,0,0,0,,
721728,2021-07-26 00:06:00+00:00,Monterrey,Puebla,Apertura - 1,d,0,0,1,,,0,0,1,,
721729,2021-07-26 02:06:00+00:00,Club Tijuana,Tigres UANL,Apertura - 1,a,0,0,1,,,0,1,2,,
721730,2021-07-27 01:00:00+00:00,Cruz Azul,Mazatlán,Apertura - 1,a,0,0,0,,,0,1,2,,
721731,2021-07-31 00:00:00+00:00,Mazatlán,Pachuca,Apertura - 2,h,3,1,2,,,3,1,1,,
721732,2021-07-31 02:05:00+00:00,Puebla,Guadalajara Chivas,Apertura - 2,a,1,0,0,,,0,0,2,,
721737,2021-07-31 22:00:00+00:00,Leon,Club Tijuana,Apertura - 2,h,0,1,2,,,0,0,1,,
721733,2021-08-01 00:00:00+00:00,Club America,Necaxa,Apertura - 2,h,1,1,2,,,0,0,1,,
721734,2021-08-01 02:00:00+00:00,Monterrey,U.N.A.M. - Pumas,Apertura - 2,h,1,1,2,,,1,0,0,,
721735,2021-08-01 02:05:00+00:00,Atlas,FC Juarez,Apertura - 2,h,1,0,2,,,0,0,0,,
